센터명,강좌명,강사명,교육시작일자,교육종료일자,강좌내용,교육대상구분,교육방법구분,운영요일,강좌정원수,데이터기준일자,차수 
대전시청자미디어센터,센터 체험_대전가양초등학교,강사미정,2023-07-01,2023-07-01,다문화가정 초등학생 체험/TV체험,초등학생,오프라인,토,13,2023-06-21,1
대전시청자미디어센터,센터 체험_노은유치원,강사미정,2023-07-04,2023-07-04,7세반 유아/TV체험,어린이,오프라인,화,25,2023-06-21,1
대전시청자미디어센터,센터 체험_대전성천초등학교,강사미정,2023-07-04,2023-07-04,3~4학년/TV체험,초등학생,오프라인,화,20,2023-06-21,1
대전시청자미디어센터,센터 체험_중리중학교(자유학년제 진로체험),강사미정,2023-07-04,2023-07-04,TV체험,중학생,오프라인,화,16,2023-06-21,1
대전시청자미디어센터,센터 체험_중리중학교(자유학년제 진로체험),강사미정,2023-07-04,2023-07-04,라디오체험,중학생,오프라인,화,16,2023-06-21,1
대전시청자미디어센터,센터 체험_센트럴유치원,강사미정,2023-07-05,2023-07-05,7세반 유아/TV체험,어린이,오프라인,수,18,2023-06-21,1
대전시청자미디어센터,찾아가는 체험_진잠초등학교,강사미정,2023-07-07,2023-07-07,3학년 1반/TV/우리마을 스템프투어 작전명 유성,초등학생,오프라인,금,16,2023-06-21,1
대전시청자미디어센터,센터 체험_대전외국어고 방송부,강사미정,2023-07-07,2023-07-07,방송부/TV체험,고등학생,오프라인,금,11,2023-06-21,1
대전시청자미디어센터,센터 체험_대전외국어고 일반학생,강사미정,2023-07-07,2023-07-07,일반 학생/라디오 체험,고등학생,오프라인,금,10,2023-06-21,1
대전시청자미디어센터,센터 체험_센트럴유치원,강사미정,2023-07-11,2023-07-11,7세반 유아/TV체험,어린이,오프라인,화,19,2023-06-21,1
대전시청자미디어센터,나눔버스_충남 홍성 홍주고등학교,강사미정,2023-07-13,2023-07-13,읍면지역학교/고등 1~3학년,고등학생,오프라인,목,30,2023-06-21,1
