일자,횟수,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,총제어량
2021-01-13,1,0,0,0,0,0,0,0,0,0,0,0,0,12,28,25,0,0,0,0,0,0,0,0,0,65.17
2021-01-16,2,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,0,0,0,0,0,21.75
2021-01-18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,25,0,0,0,0,0,0,0,0,0,46.67
2021-01-19,4,0,0,0,0,0,0,0,0,0,0,0,0,13,22,1,0,0,0,0,0,0,0,0,0,36.1
2021-01-24,5,0,0,0,0,0,0,0,0,0,0,0,3,31,43,18,3,0,0,0,0,0,0,0,0,97.67
2021-01-27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,8.21
2021-01-28,7,0,0,0,0,0,0,0,0,0,0,3,41,32,0,0,0,0,0,0,0,0,0,0,0,76.56
2021-01-29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,45,26,0,0,0,0,0,0,0,0,0,71.53
2021-01-31,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.46,0,0,0,0,0,0,0,0,0,0.84
2021-02-02,10,0,0,0,0,0,0,0,0,0,0,0,29,63,78,33,0,0,0,0,0,0,0,0,0,202.28
2021-02-04,11,0,0,0,0,0,0,0,0,0,0,0,3,33,33,13,0,0,0,0,0,0,0,0,0,82.11
2021-02-08,12,0,0,0,0,0,0,0,0,0,0,7,87,143,149,149,92,20,0,0,0,0,0,0,0,646.7
2021-02-09,13,0,0,0,0,0,0,0,0,0,0,0,1,16,25,24,3,0,0,0,0,0,0,0,0,67.93
2021-02-13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,8.32
2021-02-15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,13,0,0,0,0,0,0,0,0,45.04
